0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,-2,0,-4,-1,-1,0,0,0,-1,-1,0,0,0,2,-2,0,1,1,-4,0,-1,
-1,-4,-2,-4,0,0,1,0,-2,-2,-5,-1,-1,-3,1,-2,0,0,0,-6,3,-1,
-1,-7,-2,-4,0,0,2,2,-2,-4,-6,-2,0,-5,2,-2,-1,-3,1,-7,4,0,
0,-10,-3,-2,-1,1,3,1,-6,-6,-7,-5,3,-4,2,-4,2,-6,1,-8,2,0,
0,-13,-5,-3,0,0,3,1,-6,-9,-9,-8,5,-8,5,-4,2,-8,1,-9,3,0,
-1,-11,-4,0,0,2,3,1,-8,-7,-5,-11,-1,-12,2,-3,2,-11,-1,-6,3,0,
0,-8,-2,-1,-3,1,2,0,-4,-4,-1,-12,0,-8,9,-1,3,-10,-3,-6,0,-4,
-3,-4,-2,-2,-3,-2,0,-3,-2,-3,-1,-14,0,-5,14,1,5,-7,-3,-9,-3,-6,
-4,0,-5,-4,0,-2,-1,-7,0,0,0,-10,-6,-7,15,0,1,-6,-1,-8,-3,-5,
