7,1,1,0,5,0,5
7,1,2,0,5,0,5
7,1,8,1,5,1,5
7,1,3,1,5,0,5
7,1,7,1,5,1,5
7,1,4,1,5,0,5
7,1,6,0,5,1,5
7,1,5,0,5,1,5
7,2,2,0,5,0,5
7,2,3,1,5,0,5
7,2,1,0,5,0,5
7,2,4,1,5,0,5
7,2,8,1,5,1,5
7,2,5,0,5,1,5
7,2,7,1,5,1,5
7,2,6,0,5,1,5
7,6,3,1,5,0,5
7,6,4,1,5,0,5
7,6,2,0,5,0,5
7,6,5,0,5,1,5
7,6,1,0,5,0,5
7,6,6,0,5,1,5
7,6,8,1,5,1,5
7,6,7,1,5,1,5
7,3,4,1,5,0,5
7,3,5,0,5,1,5
7,3,3,1,5,0,5
7,3,6,0,5,1,5
7,3,2,0,5,0,5
7,3,7,1,5,1,5
7,3,1,0,5,0,5
7,3,8,1,5,1,5
7,5,5,0,5,1,5
7,5,6,0,5,1,5
7,5,4,1,5,0,5
7,5,7,1,5,1,5
7,5,3,1,5,0,5
7,5,8,1,5,1,5
7,5,2,0,5,0,5
7,5,1,0,5,0,5
7,4,6,0,5,1,5
7,4,7,1,5,1,5
7,4,5,0,5,1,5
7,4,8,1,5,1,5
7,4,4,1,5,0,5
7,4,1,0,5,0,5
7,4,3,1,5,0,5
7,4,2,0,5,0,5
