x,y,z,a,result
-1.0,0,0,0,0
-1.0,0,0,0,0
-1.0,0,0,0,0
-1.0,0,0,0,0
-1.0,0,0,0,0
-1.0,0,0,0,0
-1.0,0,0,0,0
-1.0,0,0,0,0
-1.0,0,0,0,0
-1.0,0,0,0,0
-1.0,0,0,0,0
-1.0,0,0,0,0
-1.0,0,0,0,0
-1.0,0,0,0,0
-1.0,0,0,0,0
-1.0,0,0,0,0
-1.0,0,0,0,0
-1.0,0,0,0,0
-1.0,0,0,0,0
-1.0,0,0,0,0
-1.0,0,0,0,0
-1.0,0,0,0,0
-1.0,0,0,0,0
-1.0,0,0,0,0
-1.0,0,0,0,0
-1.0,0,0,0,0
-1.0,0,0,0,0
-1.0,0,0,0,0
-1.0,0,0,0,0
-1.0,0,0,0,0
-1.0,0,0,0,0
-1.0,0,0,0,0
-1.0,0,0,0,0
-1.0,0,0,0,0
-1.0,0,0,0,0
-1.0,0,0,0,0
-1.0,0,0,0,0
-1.0,0,0,0,0
