0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,-2,0,0,0,-1,0,-2,0,0,-5,-1,-1,0,2,2,1,-1,-2,0,1,2,
0,-2,-1,-2,-1,0,0,0,0,3,-4,0,0,0,3,3,2,0,-5,1,1,0,
0,-2,0,-4,-4,1,-1,-1,0,4,-4,1,0,-1,2,0,4,-2,-8,3,3,-1,
0,-4,-2,-7,-4,0,-1,-2,-1,5,-1,2,0,0,4,2,5,0,-7,4,1,-2,
0,-3,-4,-7,-6,-2,-3,-2,-3,5,-1,2,3,1,6,3,5,0,-4,5,0,-1,
0,-3,-6,-7,-4,-3,-5,-1,-4,3,3,2,2,2,4,3,7,4,3,6,-4,-2,
0,-3,-2,-7,-6,-8,-5,-3,-6,1,-2,2,2,-1,4,3,8,2,7,5,-6,0,
0,-5,-4,-5,-7,-9,-5,-1,-6,1,-4,3,3,-2,6,5,7,4,11,4,-9,1,
0,-6,0,0,-11,-4,-5,-1,-6,0,-10,5,4,-4,5,6,6,0,13,6,-8,5,
0,-7,0,0,-11,-1,-4,0,-2,0,-13,4,5,-9,4,6,5,-1,7,6,-8,5,
