num_of_iter,cbirrt_result,gui_id,valve_position_x,valve_position_y,valve_position_z,valve_quat_x,valve_quat_y,valve_quat_z,valve_quat_w,rms_err,angle_err,cycle_success_code,skipped,time,notes
1,-1,KG-EX,1.45183908939,-0.00629449822009,0.161116153002,0.198675811291,0.000617228623014,0.98005437851,0.00458129076287,0.0,0.0,generate points failed,-1,02:33:30,
2,1,KG-EX,0.532477796078,-0.00662461016327,0.160793378949,0.20123039186,0.00141773559153,0.979523837566,0.00611016945913,0.0,0.0,[['MISALIGN'| 'Unknown']| ['MISALIGN'| 'Unknown']| ['MISALIGN'| 'Unknown']],-1,02:36:42,
3,1,KG-EX,0.528147101402,-0.0294748283923,0.160695806146,0.200997263193,0.01247584261,0.979307830334,0.0200148187578,0.0,0.0,[['MISALIGN'| 'Unknown']| ['MISALIGN'| 'Unknown']| ['MISALIGN'| 'Unknown']],-1,02:41:55,
4,1,KG-EX,0.528147101402,-0.0294748283923,0.160695806146,0.200997263193,0.01247584261,0.979307830334,0.0200148187578,0.0,0.0,[['MISALIGN'| 'Unknown']| ['MISALIGN'| 'Unknown']| ['MISALIGN'| 'Unknown']],-1,02:57:18,
